PRDCTS,AVAIL,IMPORT DT,DURTN,SEASONAL,PRICE
apple,1200,01/07/2015,12 months,YES,120
mango,2300,23/04/2015,5 months,YES,50
banana,3348,02/06/2015,5 months,NO,35
pears,3674,19/07/2015,6 months,YES,65
kiwi,4744,12/12/2015,8 months,YES,100
berry,411,12/03/2015,11 months,YES,80
carrot,2422,04/03/2015,12 months,NO,40
potato,1242,03/06/2015,6 months,NO,30
onion,1223,04/08/2015,9 months,NO,40
cabbage,1332,23/12/2015,2 months,NO,60
chilly,2333,31/11/2015,11 months,YES,35
beans,3232,19/03/2015,12 months,NO,85
lemon,232,18/4/2015,12 months,NO,80
orange,1211,23/07/2015,9 months,NO,90
guava,1313,19/03/2015,7 months,YES,90
lichi,2323,19/07/2015,8 months,NO,50
avocado,1232,13/011/2015,8 months,Yes,190
